street	district	from_point	to_point	segment_note	notes	source_text
Beacon Street	Waban Village	M.B.T.A. Bridge	Locke Road/Irvington Road			Beacon Street (M.B.T.A. Bridge to Locke Road/Irvington Road)
Collins Road	Waban Village	Beacon Street	Southwick Road			Collins Road (Beacon Street to Southwick Road)
Dorset Road	Waban Village	Beacon Street	Locke Road			Dorset Road (Beacon Street to Locke Road)
Locke Road	Waban Village					Locke Road
Manitoba Road	Waban Village					Manitoba Road
Southwick Road	Waban Village					Southwick Road
Waban Avenue	Waban Village	Neihoiden Road	Beacon Street/Collins Road			Waban Avenue (Neihoiden Road to Beacon Street/Collins Road)
