street	roadway	direction	from_point	from_offset_feet	from_offset_direction	to_point	to_offset_feet	to_offset_direction	length_feet	exception	location_detail	notes	source_text
Crescent Street			Webster Street			Rowe Street Extension							Crescent Street, from Webster Street to Rowe Street Extension.
David Road		westbound	Parker Street			Theodore Road							David Road, from Parker Street westerly to Theodore Road.
Devon Street		northbound	Brookline border			Middlesex Road							Devon Street, from Brookline border northerly to Middlesex Road.
Dolphin Road			Mandalay Road			Fellsmere Road							Dolphin Road, from Mandalay Road to Fellsmere Road.
Eldredge Street		southbound	Elmwood Street			Vernon Street							Eldredge Street, from Elmwood Street southerly to Vernon Street.
Ellison Road		southbound	Bothfeld Road			Fenno Road							Ellison Road, from Bothfeld Road southerly to Fenno Road.
Elm Road			Lowell Avenue			end of the public way portion							Elm Road, from Lowell Avenue to the end of the public way portion.
Erie Avenue		westbound	Bowdoin Street			Woodward Street							Erie Avenue, from Bowdoin Street westerly to Woodward Street.
Faxon Street			California Street			Jasset Street							Faxon Street, from California Street to Jasset Street.
Fellsmere Road			Dolphin Street			Mandalay Road							Fellsmere Road, from Dolphin Street to Mandalay Road.
Floral Street		westbound	Walnut Street			Boylston Street							Floral Street, from Walnut Street westerly to Boylston Street.
Foster Street		westbound	Walnut Street			Lowell Avenue							Foster Street, from Walnut Street westerly to Lowell Avenue.
Furber Lane		northbound	Homer Street			Commonwealth Avenue							Furber Lane, from Homer Street northerly to Commonwealth Avenue.
Gibbs Street			Centre Street			Summer Street							Gibbs Street, from Centre Street to Summer Street.
Grafton Street			Centre Street			Commonwealth Avenue							Grafton Street: (1) from Centre Street to Commonwealth Avenue.
Grafton Street	north fork	westbound				Homer Street					at triangle	no start point stated	Grafton Street: (2) on north fork at triangle westerly to Homer Street.
Great Meadow Road		eastbound	Hagen Road			Brandeis Road							Great Meadow Road, from Hagen Road easterly to Brandeis Road.
Green Street			West Street			Chapel Street							Green Street, from West Street to Chapel Street.
Grove Street			Washington Street			Colgate Road							Grove Street, from Washington Street to Colgate Road.
Hagen Road		westbound	Olde Field Road			Sheldon Road				non-motorized vehicles			Hagen Road, from Olde Field Road westerly to Sheldon Road, except non-motorized vehicles.
Hagen Road		westbound	Sheldon Road			Great Meadow Road							Hagen Road, from Sheldon Road westerly to Great Meadow Road.
Hammond Street			Priscilla Road			College Road							Hammond Street, from Priscilla Road to College Road.
Heatherland Road			Winchester Street			Upland Avenue				non-motorized vehicles			Heatherland Road, from Winchester Street to Upland Avenue, except non-motorized vehicles.
Herrick Road		southeastbound	Beacon Street			Union Street							Herrick Road, from Beacon Street southeasterly to Union Street.
Hobart Road			Commonwealth Avenue			Beacon Street							Hobart Road, from Commonwealth Avenue to Beacon Street.
Hull Street		westbound											Hull Street, westerly.
Irving Street			Commonwealth Avenue North Drive			Ward Street							Irving Street, from Commonwealth Avenue North Drive to Ward Street.
