street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Bishopsgate Road	southbound	Beacon Street						Bishopsgate Road at Beacon Street, southbound.
Blake Street	northbound	Cabot Street						Blake Street at Cabot Street, northbound.
Blake Street	southbound	Mill Street						Blake Street at Mill Street, southbound.
Bonmar Circle	eastbound	Washington Street						Bonmar Circle at Washington Street, eastbound.
Border Street	eastbound	Elm Street						Border Street at Elm Street, eastbound.
Botsford Road	southbound	Vine Street						Botsford Road at Vine Street, southbound.
Boulder Road	northbound,southbound	Wendall Road						Boulder Road at Wendall Road, northbound and southbound.
Bow Road	eastbound	Cypress Street						Bow Road at Cypress Street, eastbound.
Bowdoin Street	southbound	Erie Avenue						Bowdoin Street, southbound at Erie Avenue.
Bowdoin Street	northbound,southbound	Forest Street						Bowdoin Street at Forest Street, northbound and southbound.
Bowdoin Street	northbound,southbound	Lincoln Street						Bowdoin Street at Lincoln Street, northbound and southbound.
Brackett Road (northern intersection)	eastbound,westbound	Park Avenue						Brackett Road (northern intersection) at Park Avenue, eastbound and westbound.
Brackett Road (southern intersection)	eastbound	Park Avenue						Brackett Road (southern intersection) at Park Avenue, eastbound.
Brackett Road	eastbound	Waverley Avenue						Brackett Road at Waverley Avenue, eastbound.
Braeburn Road	southbound	Commonwealth Avenue, North Drive						Braeburn Road at Commonwealth Avenue, North Drive, southbound.
Braeland Avenue	westbound	Cypress Street						Braeland Avenue at Cypress Street, westbound.
Braeland Avenue	eastbound,westbound	Herrick Road						Braeland Avenue at Herrick Road, eastbound and westbound.
Braeland Avenue	eastbound,westbound	Institution Avenue						Braeland Avenue at Institution Avenue, eastbound and westbound.
Brentwood Avenue	eastbound,westbound	Garland Road						Brentwood Avenue at Garland Road, eastbound and westbound.
Brentwood Avenue	eastbound	Greenlawn Avenue						Brentwood Avenue at Greenlawn Avenue, eastbound.
Brentwood Avenue	westbound	Walnut Street						Brentwood Avenue at Walnut Street, westbound.
Bridge Street	eastbound	Watertown Street						Bridge Street at Watertown Street, eastbound.
Bridges Avenue	southbound	Cabot Street						Bridges Avenue at Cabot Street, southbound.
Bristol Road	southbound	Commonwealth Avenue, North Drive						Bristol Road at Commonwealth Avenue, North Drive, southbound.
Bristol Road	southbound	Commonwealth Avenue, South Drive						Bristol Road at Commonwealth Avenue, South Drive, southbound.
Broadway	northbound,southbound	Churchill Street						Broadway at Churchill Street, northbound and southbound.
Broadway	southeastbound	Watertown Street						Broadway at Watertown Street, southeastbound.
Broadway	northbound	Linwood Avenue						Broadway at Linwood Avenue, northbound.
Broken Tree Road	northbound,southbound	Old Farm Road						Broken Tree Road at Old Farm Road, northbound and southbound.
Brooks Avenue	southbound	Washington Street						Brooks Avenue at Washington Street, southbound.
Brookside Avenue	southbound	Washington Street						Brookside Avenue at Washington Street, southbound.
Browning Road	eastbound	Parker Street						Browning Road at Parker Street, eastbound.
Bullough Park	southbound	Commonwealth Avenue, South Drive						Bullough Park at Commonwealth Avenue, South Drive, southbound.
Bullough Park	northbound	Mill Street						Bullough Park at Mill Street, northbound.
Bunker Lane	northbound,southbound	Fairway Drive						Bunker Lane at Fairway Drive, northbound and southbound.
Burnham Road	northbound	Valentine Street						Burnham Road at Valentine Street, northbound.
Buswell Park	westbound	Centre Street						Buswell Park at Centre Street, westbound.
Byfield Road	westbound	Chestnut Street						Byfield Road at Chestnut Street, westbound.
Cabot Street	eastbound,westbound	East Side Parkway						Cabot Street at East Side Parkway, eastbound and westbound.
Cabot Street	eastbound,westbound	Harvard Street						Cabot Street at Harvard Street, eastbound and westbound.
California Street	southwestbound	Crafts Street						California Street at Crafts Street, southwestbound.
Capital Street	southeastbound	Jackson Street						Capital Street at Jackson Street, southeastbound.
Capital Street		Watertown Street						Capital Street at Watertown Street.
Carlton Road	northbound	Beacon Street						Carlton Road at Beacon Street, northbound.
Carlton Road	northbound,southbound	Waban Avenue						Carlton Road at Waban Avenue, northbound and southbound.
Carleton Street	eastbound	Centre Street						Carleton Street at Centre Street, eastbound.
Caroline Park	southeastbound	Moffat Road						Caroline Park at Moffat Road, southeastbound.
Carthay Circle	eastbound	Walnut Street						Carthay Circle at Walnut Street, eastbound.
Carver Street	northbound	Woodward Street						Carver Street at Woodward Street, northbound.
Carver Street	southbound	Woodward Street						Carver Street at Woodward Street, southbound.
Cedar Street	southbound	Commonwealth Avenue, North Drive						Cedar Street at Commonwealth Avenue, North Drive, southbound.
Cedar Street	northbound	Commonwealth Avenue, South Drive						Cedar Street at Commonwealth Avenue, South Drive, northbound.
Cedar Street	southbound	Commonwealth Avenue South Drive						Cedar Street at Commonwealth Avenue South Drive, southbound.
Cedar Street	northbound	Mill Street						Cedar Street at Mill Street, northbound.
Central Avenue	northbound	Crafts Street						Central Avenue at Crafts Street, northbound.
Central Avenue	southbound	Washington Street						Central Avenue at Washington Street, southbound.
Central Street	northbound	Commonwealth Avenue, South Drive						Central Street at Commonwealth Avenue, South Drive, northbound.
Central Street	southbound	Commonwealth Avenue, South Drive						Central Street at Commonwealth Avenue, South Drive, southbound.
Central Street	westbound	Grove Street						Central Street at Grove Street, westbound.
Central Street	eastbound,westbound	Maple Street						Central Street at Maple Street, eastbound and westbound.
Central Street	northeastbound,southwestbound	Woodland Road						Central Street at Woodland Road, northeastbound and southwestbound.
Centre Street	southeastbound					at connector spur from Sargent Street; east of the traffic island		Centre Street at connector spur from Sargent Street (east of the traffic island), southeastbound.
Centre Street	northbound	Cypress Street						Centre Street at Cypress Street, northbound.
Channing Road	eastbound,westbound	Morseland Avenue						Channing Road at Morseland Avenue, eastbound and westbound.
Channing Street	northbound	Pearl Street						Channing Street at Pearl Street, northbound.
Chapel Street	northbound	California Street						Chapel Street at California Street, northbound.
Chapel Street	northbound,southbound	Green Street						Chapel Street at Green Street, northbound and southbound.
Chase Street	all	Herrick Road						Chase Street at Herrick Road, all directions.
Chase Street	eastbound	Langley Road						Chase Street at Langley Road, eastbound.
Chaske Avenue	eastbound	Melrose Street						Chaske Avenue at the intersection of Melrose Street, eastbound.
Cherry Place	southeastbound	Cherry Street						Cherry Place at Cherry Street, southeastbound.
Chesley Road	northbound	Everett Street						Chesley Road at Everett Street, northbound.
Chester Street	northbound,southbound	Forest Street				Ward 5		Chester Street at Forest Street, Ward 5, northbound and southbound.
Chesterfield Road	southbound	Commonwealth Avenue, North Drive						Chesterfield Road at Commonwealth Avenue, North Drive, southbound.
