street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Daniel Street	westbound	Parker Street						Daniel Street at Parker Street, westbound.
Dartmouth Street	southbound	Commonwealth Avenue, North Drive						Dartmouth Street at Commonwealth Avenue, North Drive, southbound.
Dartmouth Street	northbound	Commonwealth Avenue, South Drive						Dartmouth Street at Commonwealth Avenue, South Drive, northbound.
Dartmouth Street	southbound	Commonwealth Avenue, South Drive						Dartmouth Street at Commonwealth Avenue, South Drive, southbound.
Dartmouth Street	northbound,southbound	Fuller Street						Dartmouth Street at Fuller Street, northbound and southbound.
Dartmouth Street	northbound	Prince Street						Dartmouth Street at Prince Street, northbound.
David Road	southbound	Theodore Road						David Road at Theodore Road, southbound.
Davis Avenue	westbound	Furbush Avenue						Davis Avenue at Furbush Avenue, westbound.
Davis Avenue	eastbound	Stoneleigh Road						Davis Avenue at Stoneleigh Road, eastbound.
Davis Avenue	southbound	Watertown Street						Davis Avenue at Watertown Street, southbound.
Davis Street	eastbound	Chestnut Street						Davis Street at Chestnut Street, eastbound.
Davis Street	westbound	Highland Street						Davis Street at Highland Street, westbound.
Day Street	northbound	Commonwealth Avenue, South Drive						Day Street at Commonwealth Avenue, South Drive, northbound.
Day Street	eastbound	Washington Street						Day Street at Washington Street, eastbound.
Dedham Street	eastbound,westbound	Walnut Street						Dedham Street at Walnut Street, eastbound and westbound.
Derby Street	eastbound	Waltham Street						Derby Street at Waltham Street, eastbound.
Devon Street	northbound	Middlesex Road						Devon Street at Middlesex Road, northbound.
Devonshire Road	northbound	Collins Road						Devonshire Road at Collins Road, northbound.
Dexter Road	northbound,southbound	Walnut Street						Dexter Road at Walnut Street, northbound and southbound.
Dickerman Road	southbound	Boylston Street						Dickerman Road at Boylston Street, southbound.
Dickerman Road	southbound,northbound	Lincoln Street						Dickerman Road at Lincoln Street, southbound and northbound.
Dorcar Road	northbound	Vine Street						Dorcar Road at Vine Street, northbound.
Druid Hill Road	southbound	Upland Avenue						Druid Hill Road at Upland Avenue, southbound.
Drumlin Road	northbound	Dudley Road						Drumlin Road at Dudley Road, northbound.
Drumlin Road	southbound	Hartman Road						Drumlin Road at Hartman Road, southbound.
Dudley Road	northbound	Boylston Street						Dudley Road at Boylston Street, northbound.
Dudley Road	southbound	Brookline Street						Dudley Road at Brookline Street, southbound.
Dudley Road	northbound,southbound	Greenwood Street						Dudley Road at Greenwood Street, northbound and southbound.
Duncklee Street	eastbound,westbound	Manchester Road						Duncklee Street at Manchester Road, eastbound and westbound.
Duncklee Street	eastbound	Walnut Street						Duncklee Street at Walnut Street, eastbound.
Dunstan Street	southbound	Washington Street						Dunstan Street at Washington Street, southbound.
Dunstan Street	northbound	Watertown Street						Dunstan Street at Watertown Street, northbound.
East Side Parkway	southbound	Cabot Street						East Side Parkway at Cabot Street, southbound.
East Side Parkway	northbound	Newtonville Avenue						East Side Parkway at Newtonville Avenue, northbound.
East Side Parkway	southbound		76	south	Newtonville Avenue	east side of the channelized island		East Side Parkway on the east side of the channelized island 76 feet south of Newtonville Avenue, southbound.
Eddy Street	southbound	Washington Street						Eddy Street at Washington Street, southbound.
Edward Road	southbound	Derby Street						Edward Road at Derby Street, southbound.
Eldredge Street	northeastbound,southwestbound	Church Street						Eldredge Street at Church Street, northeastbound and southwestbound.
Eldredge Street	northbound,southbound	Vernon Street						Eldredge Street at Vernon Street, northbound and southbound.
Elgin Street	eastbound,westbound	Glen Avenue						Elgin Street at Glen Avenue, eastbound and westbound.
Elgin Street	westbound	Langley Road						Elgin Street at Langley Road, westbound.
Elinor Road	westbound	Walnut Street						Elinor Road at Walnut Street, westbound.
Elinor Road	eastbound,westbound	Woodcliff Road						Elinor Road at Woodcliff Road, eastbound and westbound.
Elliot Street	eastbound,westbound	Oak Street						Elliot Street at Oak Street, eastbound and westbound.
Ellis Road	eastbound	Valentine Street						Ellis Road at Valentine Street, eastbound.
Ellis Road	westbound	Wauwinet Road						Ellis Road at Wauwinet Road, westbound.
Ellis Street	eastbound	Chestnut Street						Ellis Street at Chestnut Street, eastbound.
Ellis Street	northbound	Route 9 eastbound ramp						Ellis Street at Route 9 eastbound ramp, northbound.
Ellison Road	northbound	Commonwealth Avenue, South Drive						Ellison Road at Commonwealth Avenue, South Drive, northbound.
Elm Street	northbound	River Street						Elm Street at River Street, northbound.
Elm Street	northbound,southbound	Webster Street						Elm Street at Webster Street, northbound and southbound.
Elmhurst Road	southbound	Washington Street						Elmhurst Road at Washington Street, southbound.
Elmwood Street	eastbound	Park Street						Elmwood Street at Park Street, eastbound.
Elsworth Road	westbound	Parmenter Road						Elsworth Road at Parmenter Road, westbound.
Emerson Street	southbound	Pearl Street						Emerson Street at Pearl Street, southbound.
Endicott Street	eastbound	Plymouth Road						Endicott Street at Plymouth Road, eastbound.
Erie Avenue	eastbound	Hartford Street						Erie Avenue at Hartford Street, eastbound.
Erie Avenue	westbound	Woodward Street						Erie Avenue at Woodward Street, westbound.
Evelyn Road	northbound,southbound	Paulson Road						Evelyn Road at Paulson Road, northbound and southbound.
Everett Street	westbound	Summer Street						Everett Street at Summer Street, westbound.
Executive Park Drive	southbound	Washington Street						Executive Park Drive at Washington Street, southbound.
Exeter Street	northbound	Commonwealth Avenue, South Drive						Exeter Street at Commonwealth Avenue, South Drive, northbound.
Exeter Street	southbound	Commonwealth Avenue, South Drive						Exeter Street at Commonwealth Avenue, South Drive, southbound.
Exeter Street	southbound	Commonwealth Avenue, North Drive						Exeter Street at Commonwealth Avenue, North Drive, southbound.
Fair Oaks Avenue	northbound,southbound	California Street						Fair Oaks Avenue at California Street, northbound and southbound.
Fair Oaks Avenue	westbound	Fessenden Street						Fair Oaks Avenue at Fessenden Street, westbound.
Fairfield Street	southbound,northbound	Bolton Road						Fairfield Street at Bolton Road, southbound and northbound.
Fairlee Road	northbound	Woodward Street						Fairlee Road at Woodward Street, northbound.
Fairmont Avenue	eastbound	Centre Street						Fairmont Avenue at Centre Street, eastbound.
Fairway Drive	eastbound,westbound	Bunker Lane						Fairway Drive at Bunker Lane, eastbound and westbound.
Fairway Drive	westbound	Waltham Street						Fairway Drive at Waltham Street, westbound.
Fairway Drive	southbound	Watertown Street						Fairway Drive at Watertown Street, southbound.
Falmouth Road	westbound	Parmenter Road						Falmouth Road at Parmenter Road, westbound.
Farlow Road	westbound	Waverley Avenue						Farlow Road at Waverley Avenue, westbound.
Farwell Street	southbound	North Street				southern intersection		Farwell Street at North Street, southbound (southern intersection).
Faxon Street	southbound	Watertown Street						Faxon Street at Watertown Street, southbound.
Fellsmere Road	northeastbound,southwestbound	Mandalay Road						Fellsmere Road at Mandalay Road, northeastbound and southwestbound.
Fenwick Road	eastbound	Chestnut Street						Fenwick Road at Chestnut Street, eastbound.
Fenwick Road	northwestbound	Collins Road						Fenwick Road at Collins Road, northwestbound.
Fern Street	eastbound	Hancock Street						Fern Street at Hancock Street, eastbound.
Ferncroft Road	southbound	Beacon Street						Ferncroft Road at Beacon Street, southbound.
Ferncroft Road	northbound	Paulson Road						Ferncroft Road at Paulson Road, northbound.
Fessenden Street	southwestbound	Crafts Street						Fessenden Street at Crafts Street, southwestbound.
Fessenden Street	northeastbound	Nevada Street						Fessenden Street at Nevada Street, northeastbound.
Fessenden Street	southwestbound	Nevada Street						Fessenden Street at Nevada Street, southwestbound.
Fisher Avenue	eastbound	Walnut Street						Fisher Avenue at Walnut Street, eastbound.
Floral Street	northeastbound	Hyde Street						Floral Street at Hyde Street, northeastbound.
Floral Street	westbound	Walnut Street						Floral Street at Walnut Street, westbound.
Forest Avenue	northbound,southbound	Highland Street						Forest Avenue at Highland Street, northbound and southbound.
Forest Avenue	northbound,southbound	Otis Street						Forest Avenue at Otis Street, northbound and southbound.
Forest Avenue	northbound	Woodland Road						Forest Avenue at Woodland Road, northbound.
Forest Street	eastbound,westbound	Chester Street						Forest Street at Chester Street, eastbound and westbound.
Forest Street	eastbound,westbound	Columbus Street						Forest Street at Columbus Street, eastbound and westbound.
Foster Street	eastbound,westbound	Chester Street						Foster Street at Chester Street, eastbound and westbound.
Fountain Street	southbound,northbound	Highland Street						Fountain Street at Highland Street, southbound and northbound.
Fountain Street	westbound	Valentine Street						Fountain Street at Valentine Street, westbound.
Fox Lane	westbound	Arnold Road						Fox Lane at Arnold Road, westbound.
Fox Lane	eastbound	Meadowbrook Road						Fox Lane at Meadowbrook Road, eastbound.
Fox Place	eastbound	Arnold Road						Fox Place at Arnold Road, eastbound.
Franklin Street	westbound	Centre Street						Franklin Street at Centre Street, westbound.
Franklin Street	eastbound,westbound	Waverley Avenue						Franklin Street at Waverley Avenue, eastbound and westbound.
Franklin Street	all	Park Street						Franklin Street at Park Street, all directions.
Franklin Street	eastbound,westbound	Park Street				eastern intersection		Franklin Street at Park Street, eastbound and westbound (eastern intersection).
Fredette Road	northwestbound	Sawmill Brook Parkway						Fredette Road at Sawmill Brook Parkway, northwestbound.
Fredette Road	southeastbound	Spiers Road						Fredette Road at Spiers Road, southeastbound.
Freeman Street	northbound	Staniford Street						Freeman Street at Staniford Street, northbound.
Fuller Street	eastbound,westbound	Chestnut Street						Fuller Street at Chestnut Street, eastbound and westbound.
Fuller Street	northbound	Commonwealth Avenue, South Drive				eastern intersection		Fuller Street at Commonwealth Avenue, South Drive, northbound (eastern intersection).
Fuller Street	northwestbound	Commonwealth Avenue, South Drive				western intersection		Fuller Street at Commonwealth Avenue, South Drive, northwestbound (western intersection).
Fuller Street	eastbound	Evelyn Road						Fuller Street at Evelyn Road, eastbound.
Fuller Street	eastbound	Parmenter Road						Fuller Street at Parmenter Road, eastbound.
Furber Lane	northbound	Commonwealth Avenue, South Drive						Furber Lane at Commonwealth Avenue, South Drive, northbound.
Furbush Avenue	eastbound	Adella Avenue and Orchard Avenue						Furbush Avenue at Adella Avenue and Orchard Avenue, eastbound.
Furbush Avenue	westbound	Davis Avenue and Stoneleigh Road						Furbush Avenue at Davis Avenue and Stoneleigh Road, westbound.
Garden Road	westbound	Centre Street						Garden Road at Centre Street, westbound.
Gardner Street	southbound	Pearl Street						Gardner Street at Pearl Street, southbound.
Gardner Street	eastbound	School Street						Gardner Street at School Street, eastbound.
Garland Road	northbound,southbound	Brentwood Avenue						Garland Road at Brentwood Avenue, northbound and southbound.
Garrison Street	southbound	Commonwealth Avenue, North Drive						Garrison Street at Commonwealth Avenue, North Drive southbound.
Garrison Street	northbound	Ward Street						Garrison Street at Ward Street, northbound.
Gay Street	northbound	Cabot Street						Gay Street at Cabot Street, northbound.
George Street	westbound	Centre Street						George Street at Centre Street, westbound.
Gibbs Street	southbound	Everett Street						Gibbs Street at Everett Street, southbound.
Gibbs Street	eastbound,westbound	Summer Street						Gibbs Street at Summer Street, eastbound and westbound.
Gilbert Street	northbound	Auburn Street						Gilbert Street at Auburn Street, northbound.
Gilbert Street	southwestbound	Greenough Street						Gilbert Street at Greenough Street, southwestbound.
Glen Avenue	southbound	Langley Road						Glen Avenue at Langley Road, southbound.
Glenwood Avenue	westbound	Parker Street						Glenwood Avenue at Parker Street, westbound.
Goddard Street	westbound	Christina Street						Goddard Street at Christina Street, westbound.
Goddard Street	eastbound	Winchester Street						Goddard Street at Winchester Street, eastbound.
Gordon Road	southbound	Beacon Street						Gordon Road at Beacon Street, southbound.
Gordon Road	westbound	Chestnut Street						Gordon Road at Chestnut Street, westbound.
Gordon Road	northbound	Paulson Road						Gordon Road at Paulson Road, northbound.
Grafton Street	southbound	Commonwealth Avenue, North Drive						Grafton Street at Commonwealth Avenue, North Drive, southbound.
Grafton Street	northbound	Commonwealth Avenue, South Drive						Grafton Street at Commonwealth Avenue, South Drive, northbound.
Grafton Street	southbound	Commonwealth Avenue South Drive						Grafton Street at Commonwealth Avenue South Drive, southbound.
Grafton Street	westbound	Homer and Water Streets						Grafton Street at Homer and Water Streets, westbound.
Gralynn Road	northbound,southbound	Mandalay Road						Gralynn Road at Mandalay Road, northbound and southbound.
Grant Avenue	northbound	Ward Street						Grant Avenue at Ward Street, northbound.
Grasmere Street	northbound,southbound	Hunnewell Avenue						Grasmere Street at Hunnewell Avenue, northbound and southbound.
Grasmere Street	southbound	Washington Street						Grasmere Street at Washington Street, southbound.
Graycliff Road	southbound	Beacon Street						Graycliff Road at Beacon Street, southbound.
Great Meadow Road	southeastbound	Brandeis Road						Great Meadow Road at Brandeis Road, southeastbound.
Green Street	northeastbound,southwestbound	Chapel Street						Green Street at Chapel Street, northeastbound and southwestbound.
Green Street	northeastbound	Pearl Street						Green Street at Pearl Street, northeastbound.
Greenlawn Avenue	northbound	Homer Street						Greenlawn Avenue at Homer Street, northbound.
Greenough Street	northbound	Auburn Street						Greenough Street at Auburn Street, northbound.
Greenough Street	southeastbound	Washington Street						Greenough Street at Washington Street, southeastbound.
Greenwood Street	all	Country Club Road						Greenwood Street at Country Club Road, all directions.
Greenwood Street	southbound	Dedham Street						Greenwood Street at Dedham Street, southbound.
Greenwood Street	eastbound	Dudley Road						Greenwood Street at Dudley Road, eastbound.
Greenwood Street	northeastbound,southwestbound	Hartman Road						Greenwood Street at Hartman Road, northeastbound and southwestbound.
Grove Hill Avenue	southbound	Lakeview Avenue						Grove Hill Avenue at Lakeview Avenue, southbound.
Grove Hill Avenue	northbound	Prospect Avenue						Grove Hill Avenue at Prospect Avenue, northbound.
Grove Hill Avenue	southbound	Prospect Avenue						Grove Hill Avenue at Prospect Avenue, southbound.
Grove Street	northbound,southbound	Hagar Street						Grove Street at Hagar Street, northbound and southbound.
Grove Street	southbound,northbound	Woodland Road						Grove Street at Woodland Road, southbound and northbound.
Hagar Street	southwestbound	Concord Street						Hagar Street at Concord Street, southwestbound.
Hagar Street	eastbound	Grove Street						Hagar Street at Grove Street, eastbound.
Hagen Road	eastbound	Adeline Road						Hagen Road at Adeline Road, eastbound.
Hagen Road	eastbound,westbound	Olde Field Road						Hagen Road at Olde Field Road, eastbound and westbound.
Hagen Road	westbound	Parker Street						Hagen Road at Parker Street, westbound.
Halcyon Road	eastbound	Parker Street						Halcyon Road at Parker Street, eastbound.
Hammond Pond Parkway	northbound	Beacon Street				from right turn lane		Hammond Pond Parkway, northbound, from right turn lane onto Beacon Street.
Hammond Street	northbound	Middlesex Road						Hammond Street at Middlesex Road, northbound.
Hammond Street	southbound	Middlesex Road						Hammond Street at Middlesex Road, southbound.
Hammond Street	northbound	Suffolk Road						Hammond Street at Suffolk Road, northbound.
Hammond Street	southbound	Suffolk Road						Hammond Street at Suffolk Road, southbound.
Hammond Street	northbound	Ward Street						Hammond Street at Ward Street, northbound.
Hammondswood Road	northbound	Commonwealth Avenue, South Drive						Hammondswood Road at Commonwealth Avenue, South Drive, northbound.
Hammondswood Road	southbound,northbound	Hammond Street						Hammondswood Road at Hammond Street, southbound and northbound.
Hammondswood Road	northbound,southbound	Monadnock Road						Hammondswood Road at Monadnock Road, northbound and southbound.
Hampshire Street	eastbound	Valentine Street						Hampshire Street and Valentine Street, eastbound.
Hancock Avenue	southbound	Beacon Street				easterly intersection		Hancock Avenue at Beacon Street (easterly intersection), southbound.
Hancock Street	northwestbound,southeastbound	Woodland Road						Hancock Street at Woodland Road, northwestbound and southeastbound.
Hancock Street	southbound	Grove Street						Hancock Street and Grove Street, southbound.
Hanson Road	southeastbound	Saw Mill Brook Parkway						Hanson Road at Saw Mill Brook Parkway, southeastbound.
Hanson Road	northwestbound	Wiswall Road						Hanson Road at Wiswall Road, northwestbound.
Harrington Street	northbound	Albemarle Road						Harrington Street at Albemarle Road, northbound.
Harrington Street	southbound	Washington Street						Harrington Street at Washington Street, southbound.
Harris Road	westbound	Cherry Street						Harris Road at Cherry Street, westbound.
Hartford Street	northbound	Lincoln Street						Hartford Street at Lincoln Street, northbound.
Hartman Road	southbound	Brookline Street						Hartman Road at Brookline Street, southbound.
Hartman Road	eastbound,westbound	Greenwood Avenue						Hartman Road at Greenwood Avenue, eastbound and westbound.
Hartman Road	westbound	Meadowbrook Road						Hartman Road at Meadowbrook Road, westbound.
Harvard Street	northbound,southbound	Cabot Street						Harvard Street at Cabot Street, northbound and southbound.
Hatfield Road	eastbound,westbound	Fuller Terrace				northern intersection		Hatfield Road at Fuller Terrace, eastbound and westbound (northern intersection).
Hawthorn Street	northbound,southbound	Clinton Street						Hawthorn Street at Clinton Street, northbound and southbound.
Hawthorn Street	northbound	Watertown Street						Hawthorn Street at Watertown Street, northbound.
Hawthorne Avenue	northbound	Woodland Road						Hawthorne Avenue at Woodland Road, northbound.
Haynes Road	eastbound,westbound	Olde Field Road						Haynes Road at Olde Field Road, eastbound and westbound.
Hazelton Road	southbound	Commonwealth Avenue, North Drive						Hazelton Road at Commonwealth Avenue, North Drive, southbound.
Heatherland Road	eastbound,westbound	Upland Avenue						Heatherland Road at Upland Avenue, eastbound and westbound.
Heatherland Road	westbound	Winchester Street						Heatherland Road at Winchester Street, westbound.
Henshaw Place	westbound	Kilburn Road						Henshaw Place at Kilburn Road, westbound.
Henshaw Street	northbound	Henshaw Street, Henshaw Place and Kilburn Road						Henshaw Street at Henshaw Street, Henshaw Place and Kilburn Road, northbound.
Henshaw Street	eastbound	Kilburn Road						Henshaw Street at Kilburn Road, eastbound.
Henshaw Street	southbound	River Street						Henshaw Street at River Street, southbound.
Herrick Road	northbound,southbound	Braeland Avenue						Herrick Road at Braeland Avenue, northbound and southbound.
Herrick Road	northbound	Union Street						Herrick Road at Union Street, northbound.
Hibbard Road	northbound	Washington Street						Hibbard Road at Washington Street, northbound.
Hibbard Road	southbound	Tremont Street						Hibbard Road southbound at Tremont Street.
Higgins Street	southbound	Commonwealth Avenue, North Drive						Higgins Street at Commonwealth Avenue, North Drive, southbound.
Higgins Street	southbound	Commonwealth Avenue, South Drive						Higgins Street at Commonwealth Avenue, South Drive, southbound.
High Street	northbound	Boylston Street						High Street at Boylston Street, northbound.
High Street	eastbound	Elliot Street						High Street at Elliot Street, eastbound.
Highland Avenue	eastbound,westbound	Lowell Avenue						Highland Avenue at Lowell Avenue, eastbound and westbound.
Highland Avenue	eastbound	Walnut Street						Highland Avenue at Walnut Street, eastbound.
Highland Street	southeastbound,northwestbound	Chestnut Street						Highland Street at Chestnut Street, southeastbound and northwestbound.
Highland Street	westbound	Chestnut Street				at the connector between Highland Street and Chestnut Street		Highland Street, at the connector between Highland Street and Chestnut Street, westbound, at Chestnut Street.
Highland Street	eastbound	Lowell Avenue						Highland Street at Lowell Avenue, eastbound.
Highland Street	westbound	Valentine Street						Highland Street at Valentine Street, westbound.
Hillside Avenue	northbound	Austin Street						Hillside Avenue at Austin Street, northbound.
Hillside Road	eastbound	Columbus Street						Hillside Road at Columbus Street, eastbound.
Hillside Road	westbound	Raeburn Terrace						Hillside Road at Raeburn Terrace, westbound.
Hillside Road	eastbound	Walnut Street						Hillside Road at Walnut Street, eastbound.
Hobart Road	southeastbound	Beacon Street				west side of triangle at intersection		Hobart Road at Beacon Street, west side of triangle at intersection, southeastbound.
Hobart Road	southbound	Commonwealth Avenue, North Drive						Hobart Road at Commonwealth Avenue, North Drive southbound.
Hobart Road	northbound	Ward Street						Hobart Road at Ward Street, northbound.
Hollis Street	westbound	Centre Street				north		Hollis Street, north, at Centre Street, westbound.
Hollis Street	westbound	Centre Street				south		Hollis Street, south, at Centre Street, westbound.
Homer Street	eastbound	Centre Street						Homer Street at Centre Street, eastbound.
Homer Street	northbound	Commonwealth Avenue, South Drive				right turn lane	direction stated twice in source	Homer Street, northbound, right turn lane at Commonwealth Avenue, South Drive, northbound.
Hood Street	northbound	Nonantum Street						Hood Street at Nonantum Street, northbound.
Hope Street	westbound	Washington Street						Hope Street at Washington Street, westbound.
Hovey Street	northbound	Waban Street						Hovey Street at Waban Street, northbound.
Hovey Street	southbound	Washington Street						Hovey Street at Washington Street, southbound.
Howe Road	westbound	Parker Street						Howe Road at Parker Street, westbound.
Howley Avenue	eastbound	Parker Street						Howley Avenue at Parker Street, eastbound.
Hull Street	westbound	Lowell Avenue						Hull Street at Lowell Avenue, westbound.
Hunnewell Avenue	southbound	Washington Street						Hunnewell Avenue at Washington Street, southbound.
Hunnewell Circle	southbound	Washington Street						Hunnewell Circle at Washington Street, southbound.
Huntington Road	westbound	Chamberlain Road						Huntington Road at Chamberlain Road, westbound.
Huntington Road	westbound	Farlow Road						Huntington Road at Farlow Road, westbound.
Hyde Avenue	westbound	Centre Street						Hyde Avenue at Centre Street, westbound.
Hyde Street	southeastbound	Centre Street						Hyde Street at Centre Street, southeastbound.
Hyde Street	northbound,southbound	Lake Avenue						Hyde Street at Lake Avenue, northbound and southbound.
Hyde Street	westbound	Walnut Street						Hyde Street at Walnut Street, westbound.
I-95 North	northwestbound	Washington Street				exit 21; dedicated left turn lane		I-95 North, exit 21, dedicated left turn lane at Washington Street, northwestbound.
Intervale Road	eastbound,westbound	Hobart Road						Intervale Road at Hobart Road, eastbound and westbound.
Irving Street	southbound	Commonwealth Avenue, South Drive						Irving Street at Commonwealth Avenue, South Drive southbound.
Irvington Street	northbound	Beacon Street						Irvington Street at Beacon Street, northbound.
Islington Road	southbound	Commonwealth Avenue, South Drive						Islington Road at Commonwealth Avenue, South Drive, southbound.
Islington Road	southbound	Commonwealth Avenue, North Drive						Islington Road at Commonwealth Avenue, North Drive, southbound.
Jacobs Terrace	southbound	Hartman Road					source paragraph merges a second entry (Jackson Street at Langley Road, eastbound and westbound); one row per counting contract — see spec	Jacobs Terrace at Hartman Road, southbound. Jackson Street at Langley Road, eastbound and westbound.
James Street	southbound	River Street						James Street at River Street, southbound.
Jasset Street	northbound	California Street						Jasset Street at California Street, northbound.
Jefferson Street	northbound	Maple Street						Jefferson Street at Maple Street, northbound.
Jewett Street	northbound,southbound	Boyd Street						Jewett Street at Boyd Street, northbound and southbound.
Jewett Street	northbound,southbound	Gardner Street						Jewett Street at Gardner Street, northbound and southbound.
Jewett Street	northbound,southbound	Pearl Street						Jewett Street at Pearl Street, northbound and southbound.
Jewett Street	northbound	Waban Park						Jewett Street at Waban Park, northbound.
John F. Kennedy Circle		Green Street				east end		John F. Kennedy Circle at Green Street, east end.
John F. Kennedy Circle		Green Street				west end		John F. Kennedy Circle at Green Street, west end.
Judith Road	westbound	Walnut Street						Judith Road at Walnut Street, westbound.
June Lane	southbound	Spiers Road				Ward 8		June Lane at Spiers Road, Ward 8, southbound.
Kendall Road	eastbound	Parker Street						Kendall Road at Parker Street, eastbound.
Kendall Road	westbound	Walnut Hill Road						Kendall Road at Walnut Hill Road, westbound.
Kenmore Street	eastbound	Lake Avenue						Kenmore Street at Lake Avenue, eastbound.
Kenrick Terrace	southbound	Kenrick Street						Kenrick Terrace at Kenrick Street, southbound.
Kenwood Avenue	northbound	Commonwealth Avenue, South Drive						Kenwood Avenue at Commonwealth Avenue, South Drive, northbound.
Kilburn Road	southbound	Henshaw Street and Henshaw Place						Kilburn Road at Henshaw Street and Henshaw Place, southbound.
Kingman Road	westbound	Manchester Road						Kingman Road at Manchester Road, westbound.
Kirkstall Road	westbound	Walnut Street						Kirkstall Road at Walnut Street, westbound.
Lake Avenue	northbound,southbound	Beacon Street						Lake Avenue at Beacon Street, northbound and southbound.
Lake Avenue	eastbound,westbound	Hyde Street						Lake Avenue at Hyde Street, eastbound and westbound.
Lake Avenue	northbound	Pleasant Street						Lake Avenue at Pleasant Street, northbound.
Lake Avenue	northbound,southbound	Rogers Street						Lake Avenue at Rogers Street, northbound and southbound.
Lake Avenue	northbound	Woodland Road						Lake Avenue at Woodland Road, northbound.
Lakewood Road	eastbound,westbound	Walnut Street						Lakewood Road at Walnut Street, eastbound and westbound.
Lakewood Road	eastbound	Lake Avenue						Lakewood Road eastbound at Lake Avenue.
Lancaster Road	eastbound	Cotton Street						Lancaster Road at Cotton Street, eastbound.
Langdon Street	northbound	Bellevue Street						Langdon Street at Bellevue Street, northbound.
Langdon Street	northbound,southbound	Cabot Street						Langdon Street at Cabot Street, northbound and southbound.
Laurel Street	northbound	Beacon Street						Laurel Street at Beacon Street, northbound.
Lasell Street	westbound	Hancock Street						Lasell Street at Hancock Street, westbound.
Lawmarissa Road	northbound,southbound	Fredana Road and Oakvale Road						Lawmarissa Road at Fredana Road and Oakvale Road, northbound and southbound.
Lawmarissa Road	northbound	Moffat Road						Lawmarissa Road at Moffat Road, northbound.
Lawrence Avenue	northbound	Beacon Street						Lawrence Avenue at Beacon Street, northbound.
Lawrence Road	northbound	Hammond Street						Lawrence Road at Hammond Street, northbound.
Lee Road	eastbound	Reservoir Avenue						Lee Road at Reservoir Avenue, eastbound.
Leighton Road	eastbound	Williston Road						Leighton Road at Williston Road, eastbound.
Lenglen Road	southbound	Washington Street						Lenglen Road at Washington Street, southbound.
Lenox Street	northbound,southbound	Highland Street						Lenox Street at Highland Street, northbound and southbound.
Lenox Street	southbound	Sylvan Avenue						Lenox Street at Sylvan Avenue, southbound.
Leslie Road	eastbound	Day Street						Leslie Road and Day Street, eastbound.
Leslie Road	westbound	Washington Street						Leslie Road at Washington Street, westbound.
Lewis Street	northbound	Newtonville Avenue						Lewis Street at Newtonville Avenue, northbound.
Lewis Terrace	northbound	Newtonville Avenue				east side of triangle		Lewis Terrace at Newtonville Avenue, northbound, east side of triangle.
Lewis Terrace	southbound	Newtonville Avenue						Lewis Terrace at Newtonville Avenue, southbound.
Lincoln Road	eastbound	Adams Street						Lincoln Road at Adams Street, eastbound.
Lincoln Road	southwestbound	Crafts Street						Lincoln Road at Crafts Street, southwestbound.
Lincoln Street	eastbound,westbound	Woodward Street						Lincoln Street at Woodward Street, eastbound and westbound.
Linwood Avenue	eastbound,westbound	Adams Street						Linwood Avenue at Adams Street, eastbound and westbound.
Linwood Avenue	eastbound,westbound	Nevada Street						Linwood Avenue at Nevada Street, eastbound and westbound.
Linwood Avenue	eastbound,westbound	Walnut Street						Linwood Avenue at Walnut Street, eastbound and westbound.
Linwood Avenue	southbound	Watertown Street						Linwood Avenue at Watertown Street, southbound.
Lion Drive	southbound	Greenwood Street						Lion Drive at Greenwood Street, southbound.
Littlefield Road	southbound	Greenwood Street						Littlefield Road at Greenwood Street, southbound.
Locksley Road	southeastbound	Hereward Road						Locksley Road at Hereward Road, southeastbound.
Lombard Street	eastbound	Centre Street						Lombard Street at Centre Street, eastbound.
Longfellow Road	westbound	Washington Street						Longfellow Road at Washington Street, westbound.
Long Meadow Road	northbound	Old Farm Road						Long Meadow Road at Old Farm Road, northbound.
Los Angeles Street	northbound	California Street						Los Angeles Street at California Street, northbound.
Los Angeles Street	southbound	California Street						Los Angeles Street at California Street, southbound.
Louise Road	northbound	Florence Street						Louise Road at Florence Street, northbound.
Lowell Avenue	northbound,southbound	Walnut Street						Lowell Avenue at Walnut Street, northbound and southbound.
Lyman Street	eastbound	Summer Street						Lyman Street at Summer Street, eastbound.
Madison Avenue	westbound	Walnut Street						Madison Avenue at Walnut Street, westbound.
Mandalay Road	northwestbound,southeastbound	Fellsmere Road						Mandalay Road at Fellsmere Road, northwestbound and southeastbound.
Mandalay Road	eastbound,westbound	Gralynn Road						Mandalay Road at Gralynn Road, eastbound and westbound.
Mandalay Road	westbound	Waverley Avenue						Mandalay Road at Waverley Avenue, westbound.
Mandalay Road	eastbound	Woodchester Road						Mandalay Road at Woodchester Road, eastbound.
Manemet Road	northbound	Commonwealth Avenue, South Drive						Manemet Road at Commonwealth Avenue, South Drive, northbound.
Manet Road	northbound	Commonwealth Avenue						Manet Road at Commonwealth Avenue, northbound.
Manet Road	southbound	Commonwealth Avenue						Manet Road at Commonwealth Avenue, southbound.
Manet Road	southbound	Commonwealth Avenue, North Drive						Manet Road at Commonwealth Avenue, North Drive, southbound.
Manitoba Road	southbound	Nehoiden Road						Manitoba Road at Nehoiden Road, southbound.
Maple Street	southbound,northbound	Central Street						Maple Street at Central Street, southbound and northbound.
