street	district	from_point	to_point	segment_note	notes	source_text
Charlesbank Road	Charlesbank Area	St. James Street	Centre Street			Charlesbank Road (St. James Street to Centre Street)
Jefferson Street	Charlesbank Area					Jefferson Street
Nonantum Place	Charlesbank Area					Nonantum Place
Russell Road	Charlesbank Area			Newton Corner		Russell Road (Newton Corner)
Orchard Street	Charlesbank Area					Orchard Street
William Street	Charlesbank Area			Newton Corner		William Street (Newton Corner)
