street	restriction	side	from_point	to_point	segment_detail	schedule	source_text	notes
Hartman Road	tow-away zone	both			from a point 100 feet north of Brookline	school days; 7:30 a.m. to 4:30 p.m.	Hartman Road (2) Tow-away zone, 7:30 a.m. to 4:30 p.m. school days, both sides, from a point 100 feet north of Brookline	sub-clause (2)
Hereward Road	tow-away zone	west	Locksley Road	the northerly terminus			Hereward Road ─ Tow-away zone, west side from Locksley Road to the northerly terminus.	
Highland Street	tow-away zone	north	Lowell Avenue	Walden Street		on school days; school days	Highland Street (1) Tow-away zone, north side, on school days, from Lowell Avenue to Walden Street.	sub-clause (1)
Highland Street	tow-away zone	south				on school days; school days; 7:00 a.m. to 4:00 p.m.	Highland Street (2) Tow-away zone, south side, 7:00 a.m. to 4:00 p.m., on school days.	sub-clause (2)
Homer Street	tow-away zone	south			from a point 100 feet west of Bowers Street westerly 100 feet		Homer Street — Tow-away zone, south side, from a point 100 feet west of Bowers Street westerly 100 feet.	
Jackson Street	tow-away zone	north			from Langley Road 80 feet westerly		Jackson Street — Tow-away zone, north side, from Langley Road 80 feet westerly.	
Jefferson Street	tow-away zone	south	a point 405 feet east of Centre Street	Nonantum Place			Jefferson Street – Tow-away zone, south side, from a point 405 feet east of Centre Street to Nonantum Place.	
Langley Road	tow-away zone				from a point 412 feet north of Jackson Street northerly 137 feet		Langley Road ─ Tow-away zone, from a point 412 feet north of Jackson Street northerly 137 feet.	
Longfellow Road	tow-away zone	both			from Washington Street easterly 75 feet		Longfellow Road — Tow-away zone, both sides, all days, from Washington Street easterly 75 feet. Lothrup Street - Tow-away zone, northeast side, from Pellegrini Playground 200 feet southeasterly.	
Mayflower Road	tow-away zone	both					Mayflower Road — Tow-away zone, both sides.	
Melrose Avenue	tow-away zone	both			from Lexington Street 126 feet westerly		Melrose Avenue — Tow-away zone, both sides, from Lexington Street 126 feet westerly.	
Monadnock Road	tow-away zone	both			from Tudor Road northwesterly 150 feet		Monadnock Road — Tow-away zone, both sides, from Tudor Road northwesterly 150 feet.	
Old Colony Road	tow-away zone						Old Colony Road — Tow-away zone, except 7:00 p.m. to 12:00 midnight.	
Park Street	tow-away zone	west	Arlington Street	Vernon Street			Park Street —Tow-away zone, west side, from Arlington Street to Vernon Street.	
Priscilla Road	tow-away zone	both			entire length		Priscilla Road — Tow-away zone, both sides, entire length.	
Quincy Road	tow-away zone	south					Quincy Road — Tow-away zone, south side.	
Rogers Street (Newton Centre)	tow-away zone	both			entire length		Rogers Street (Newton Centre) — Tow-away zone, both sides, entire length.	
Saco Street	tow-away zone	both			from its westerly	7:00 a.m. to 11:00 a.m.	Saco Street — Tow-away zone, both sides, Monday through Friday, 7:00 a.m. to 11:00 a.m., from its westerly	
Suffolk Road	tow-away zone	south			from a point 7 feet east of Woodman Road westerly 20 feet		Suffolk Road (1) Tow-away zone, south side from a point 7 feet east of Woodman Road westerly 20 feet.	sub-clause (1)
Suffolk Road	tow-away zone	south			from a point 365 feet west of Woodman Road westerly 20 feet		Suffolk Road (2) Tow-away zone, all days, south side from a point 365 feet west of Woodman Road westerly 20 feet.	sub-clause (2)
Tower Road	tow-away zone	both					Tower Road — Tow-away zone, entire length, both sides.	
Tudor Road	tow-away zone	both	Hammond Street	Beacon Street, both sides			Tudor Road — Tow-away zone, entire length from Hammond Street to Beacon Street, both sides.	
Willow Street	tow-away zone	north			from a point 175 feet east of Centre Street, 25 feet easterly		Willow Street — Tow-away zone, north side, from a point 175 feet east of Centre Street, 25 feet easterly.	
