street	side	from_point	to_point	extent	schedule	source_text	notes
Elm Road					school days, 7:00 a.m. to 4:00 p.m.	Elm Road, portion directly abutting NNHS school property,	portion directly abutting NNHS school property
Hull Street					school days, 7:00 a.m. to 4:00 p.m.	Hull Street,	
Lowell Avenue	west	100 feet south of Craigie Terrace	360 feet north of Arden Road		school days, 7:00 a.m. to 4:00 p.m.	Lowell Avenue, west side from a point 100 feet south of Craigie Terrace to a point 360 feet north of Arden Road,	
Lowell Avenue	west	Highland Avenue	Austin Street		school days, 7:00 a.m. to 4:00 p.m.	Lowell Avenue, west side from Highland Avenue to Austin Street, and	
Lowell Avenue	east	Hull Street	100 feet south of Elm Road		school days, 7:00 a.m. to 4:00 p.m.	Lowell Avenue, east side from Hull Street to a point 100 feet south of Elm Road.	
