street	district	from_point	to_point	segment_note	notes	source_text
Playstead Road	Newton Corner					Playstead Road
Ricker Road	Newton Corner					Ricker Road
Ricker Terrace	Newton Corner					Ricker Terrace
Tremont Street	Newton Corner					Tremont Street
Washington Street	Newton Corner	Hibbard Road	Boston City Line			Washington Street (Hibbard Road to Boston City Line)
Waverley Avenue	Newton Corner	Tremont Street	Washington Street			Waverley Avenue (Tremont Street to Washington Street)
Whittemore Road	Newton Corner					Whittemore Road
