street	direction	entry_type	start_point	end_point	length_miles	offset_miles	speed_mph	source_text	notes
Cherry Place	westbound	stanza	Cherry Street	Sheridan Street	0.18	0.0	25	Cherry Place, westbound, beginning at Cherry Street, thence westerly on Cherry Place and Cleveland Street: 0.18 miles at 25 miles per hour ending at Sheridan Street; the total distance being 0.18 miles.	
Cherry Street	northbound	stanza	Watertown Street		0.28	0.0	25	Cherry Street, northbound, beginning at Watertown Street, thence northerly on Cherry Street: 0.28 miles at 25 miles per hour 0.75 miles at 30 miles per hour ending at the Newton-Waltham Line; the total distance being 1.03 miles.	segment 1 of 2
Cherry Street	northbound	stanza		the Newton-Waltham Line	0.75	0.28	30	Cherry Street, northbound, beginning at Watertown Street, thence northerly on Cherry Street: 0.28 miles at 25 miles per hour 0.75 miles at 30 miles per hour ending at the Newton-Waltham Line; the total distance being 1.03 miles.	segment 2 of 2
Cherry Street	southbound	stanza	the Newton-Waltham Line		0.75	0.0	30	Cherry Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Cherry Street: 0.75 miles at 30 miles per hour 0.28 miles at 25 miles per hour ending Watertown Street; the total distance being 1.03 miles.	segment 1 of 2
Cherry Street	southbound	stanza		Watertown Street	0.28	0.75	25	Cherry Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Cherry Street: 0.75 miles at 30 miles per hour 0.28 miles at 25 miles per hour ending Watertown Street; the total distance being 1.03 miles.	segment 2 of 2
Christina Street	northbound	stanza	Wallace Street		0.13	0.0	25	Christina Street, northbound, beginning at Wallace Street, thence northerly on Christina Street: 0.13 miles at 25 miles per hour; 0.32 miles at 20 miles per hour; ending at Needham Street; the total distance being 0.45 miles.	segment 1 of 2
Christina Street	northbound	stanza		Needham Street	0.32	0.13	20	Christina Street, northbound, beginning at Wallace Street, thence northerly on Christina Street: 0.13 miles at 25 miles per hour; 0.32 miles at 20 miles per hour; ending at Needham Street; the total distance being 0.45 miles.	segment 2 of 2
Christina Street	southbound	stanza	Needham Street		0.32	0.0	20	Christina Street, southbound, beginning at Needham Street, thence, southerly on Christina Street: 0.32 miles at 20 miles per hour; 0.13 miles at 25 miles per hour; ending at Wallace Street; the total distance being 0.45 miles.	segment 1 of 2
Christina Street	southbound	stanza		Wallace Street	0.13	0.32	25	Christina Street, southbound, beginning at Needham Street, thence, southerly on Christina Street: 0.32 miles at 20 miles per hour; 0.13 miles at 25 miles per hour; ending at Wallace Street; the total distance being 0.45 miles.	segment 2 of 2
Church Street	northbound	stanza	Waverley Avenue		0.14	0.0	20	Church Street, northbound, beginning at Waverley Avenue, thence northerly on Church Street: 0.14 miles at 20 miles per hour 0.45 miles at 25 miles per hour ending at Oakland Street; the total distance being 0.59 miles.	segment 1 of 2
Church Street	northbound	stanza		Oakland Street	0.45	0.14	25	Church Street, northbound, beginning at Waverley Avenue, thence northerly on Church Street: 0.14 miles at 20 miles per hour 0.45 miles at 25 miles per hour ending at Oakland Street; the total distance being 0.59 miles.	segment 2 of 2
Church Street	southbound	stanza	Oakland Street		0.45	0.0	25	Church Street, southbound, beginning at Oakland Street, thence southerly on Church Street: 0.45 miles at 25 miles per hour 0.14 miles at 20 miles per hour ending at Waverley Avenue; the total distance being 0.59 miles.	segment 1 of 2
Church Street	southbound	stanza		Waverley Avenue	0.14	0.45	20	Church Street, southbound, beginning at Oakland Street, thence southerly on Church Street: 0.45 miles at 25 miles per hour 0.14 miles at 20 miles per hour ending at Waverley Avenue; the total distance being 0.59 miles.	segment 2 of 2
Clark Street	northbound	stanza	Parker Street	Centre Street	0.46	0.0	25	Clark Street, northbound, beginning at Parker Street, thence northerly on Clark Street: 0.46 miles at 25 miles per hour ending at Centre Street; the total distance being 0.46 miles.	
Clark Street	southbound	stanza	Centre Street	Parker Street	0.46	0.0	25	Clark Street, southbound, beginning at Centre Street, thence southerly on Clark Street: 0.46 miles at 25 miles per hour ending at Parker Street; the total distance being 0.46 miles.	
Cleveland Street	eastbound	stanza	Sheridan Road	Marion Street	0.12	0.0	25	Cleveland Street, eastbound, beginning at Sheridan Road, thence easterly on Cleveland Street: 0.12 miles at 25 miles per hour ending at Marion Street; the total distance being 0.12 miles.	
Cleveland Street	westbound	stanza	Marion Street	Sheridan Road	0.12	0.0	25	Cleveland Street, westbound, beginning at Marion Street, thence westerly on Cleveland Street: 0.12 miles at 25 miles per hour ending at Sheridan Road; the total distance being 0.12 miles.	
Concord Street	northbound	stanza	Washington Street		0.16	0.0	25	Concord Street, northbound, beginning at Washington Street, thence northerly on Concord Street: 0.16 miles at 25 miles per hour 0.48 miles at 30 miles per hour ending at the Newton-Weston Line; the distance being 0.64 miles.	segment 1 of 2
Concord Street	northbound	stanza		the Newton-Weston Line	0.48	0.16	30	Concord Street, northbound, beginning at Washington Street, thence northerly on Concord Street: 0.16 miles at 25 miles per hour 0.48 miles at 30 miles per hour ending at the Newton-Weston Line; the distance being 0.64 miles.	segment 2 of 2
Concord Street	southbound	stanza			0.44	0.0	30	Concord Street, southbound, beginning at a point 200 feet south of the Newton-Weston Line, 0.44 miles at 30 miles per hour 0.16 miles at 25 miles per hour ending at Washington Street; the total distance being 0.60 miles.	segment 1 of 2
Concord Street	southbound	stanza		Washington Street	0.16	0.44	25	Concord Street, southbound, beginning at a point 200 feet south of the Newton-Weston Line, 0.44 miles at 30 miles per hour 0.16 miles at 25 miles per hour ending at Washington Street; the total distance being 0.60 miles.	segment 2 of 2
Cross Street	northbound	stanza	Washington Street	Watertown Street	0.14	0.0	25	Cross Street, northbound, beginning at Washington Street, thence northerly on Cross Street: 0.14 miles at 25 miles per hour ending at Watertown Street; the total distance being 0.14 miles.	
Cross Street	southbound	stanza	Watertown Street	Washington Street	0.14	0.0	25	Cross Street, southbound, beginning at Watertown Street, thence southerly on Cross Street: 0.14 miles at 25 miles per hour ending at Washington Street; the total distance being 0.14 miles.	
Cypress Street	northbound	stanza	900 feet north of Jackson Street		0.39	0.0	30	Cypress Street, northbound, beginning 900 feet north of Jackson Street, thence northerly on Cypress Street: 0.39 miles at 30 miles per hour 0.20 miles at 25 miles per hour ending at Centre Street; the total distance being 0.59 miles.	segment 1 of 2
Cypress Street	northbound	stanza		Centre Street	0.2	0.39	25	Cypress Street, northbound, beginning 900 feet north of Jackson Street, thence northerly on Cypress Street: 0.39 miles at 30 miles per hour 0.20 miles at 25 miles per hour ending at Centre Street; the total distance being 0.59 miles.	segment 2 of 2
Cypress Street	southbound	stanza	100 feet south of Centre Street		0.18	0.0	25	Cypress Street, southbound, beginning 100 feet south of Centre Street, thence southerly on Cypress Street: 0.18 miles at 25 miles per hour 0.56 miles at 30 miles per hour ending at Jackson Street; the total distance being 0.74 miles.	segment 1 of 2
Cypress Street	southbound	stanza		Jackson Street	0.56	0.18	30	Cypress Street, southbound, beginning 100 feet south of Centre Street, thence southerly on Cypress Street: 0.18 miles at 25 miles per hour 0.56 miles at 30 miles per hour ending at Jackson Street; the total distance being 0.74 miles.	segment 2 of 2
Dedham Street	northbound	stanza	the Newton-West Roxbury line		1.51	0.0	30	Dedham Street, northbound, beginning at the Newton-West Roxbury line, thence northerly on Dedham Street: 1.51 miles at 30 miles per hour 0.86 miles at 25 miles per hour ending at Winchester Street; the total distance being 2.37 miles.	segment 1 of 2
Dedham Street	northbound	stanza		Winchester Street	0.86	1.51	25	Dedham Street, northbound, beginning at the Newton-West Roxbury line, thence northerly on Dedham Street: 1.51 miles at 30 miles per hour 0.86 miles at 25 miles per hour ending at Winchester Street; the total distance being 2.37 miles.	segment 2 of 2
Dedham Street	southbound	stanza	Winchester Street		0.86	0.0	25	Dedham Street, southbound, beginning at Winchester Street, thence southerly on Dedham Street: 0.86 miles at 25 miles per hour 1.51 miles at 30 miles per hour ending at the Newton-West Roxbury line; the total distance being 2.37 miles.	segment 1 of 2
Dedham Street	southbound	stanza		the Newton-West Roxbury line	1.51	0.86	30	Dedham Street, southbound, beginning at Winchester Street, thence southerly on Dedham Street: 0.86 miles at 25 miles per hour 1.51 miles at 30 miles per hour ending at the Newton-West Roxbury line; the total distance being 2.37 miles.	segment 2 of 2
Derby Street	northbound	stanza	Waltham Street	the Newton-Waltham Line	0.76	0.0	25	Derby Street, northbound, beginning at Waltham Street, thence northerly on Derby Street: 0.76 miles at 25 miles per hour ending at the Newton-Waltham Line; the total distance being 0.76 miles.	
Derby Street	southbound	stanza	the Newton-Waltham Line	Waltham Street	0.76	0.0	25	Derby Street, southbound, beginning at the Newton-Waltham Line, thence southerly on Derby Street: 0.76 miles at 25 miles per hour ending at Waltham Street; the total distance being 0.76 miles.	
