street	side	within_feet	reference_point	near_address	meter_number	location_detail	notes	source_text
Lincoln Street	south	25	marked crosswalk	26 Lincoln Street	5029			Lincoln Street, south side, within 25 feet of a marked crosswalk near 26 Lincoln Street, previously marked as meter #5029.
Lincoln Street	north	25	marked crosswalk	39A Lincoln Street	5011			Lincoln Street, north side, within 25 feet of a marked crosswalk near 39A Lincoln Street, previously marked as meter #5011.
