street1,street2,direction,notes
Chesterfield Road,Commonwealth Avenue,southbound,North Drive
Chesterfield Road,Commonwealth Avenue,southbound,South Drive
Chestnut Hill Road,Hammond Street,southwestbound,
Chestnut Street,Boylston Street,northbound and southbound,northbound at the eastbound ramp and southbound at the westbound ramp
Chestnut Street,Highland Street,northbound and southbound,
Chestnut Terrace,Commonwealth Avenue,northbound,South Drive
Cheswick Road,Commonwealth Avenue,northbound,South Drive
Cheswick Road,Woodland Road,southbound,
Church Street,Eldredge Street,eastbound and westbound,
Church Street,Park Street,eastbound and westbound,
Churchill Street,Broadway,eastbound and westbound,
Churchill Street,Nevada Street,eastbound,
Claflin Place,Walnut Street,westbound,
Clarendon Street,Cabot Street,southbound,
Clarendon Street,Norwood Avenue,northbound,
Clark Street,Centre Street,northbound,
Clark Street,Rowena Road,southbound,on the traffic island at the northwest corner of the Clark Street and Rowena Road intersection
Clark Street,Route 9,eastbound,at the westbound entrance ramp of Route 9
Clements Road,Cotton Street,westbound,
Clements Road,Waverley Avenue,eastbound,
Clifton Road,Redwood Road,southwestbound,
Clifton Road,Hartman Road,northbound,
Clinton Street,Adams Street,eastbound,
Clinton Street,Crafts Street,westbound,
Clinton Street,Hawthorn Street,eastbound and westbound,
Cloverdale Road,Clark Street,northbound,
Cloverdale Road,Miller Road,northbound and westbound,
Cochituate Road,Plymouth Road,westbound,
Colby Street,Centre Street,eastbound,
Colby Street,Rochester Road and Westchester Road,westbound,
Colgate Road,Grove Street,westbound,
College Road,Commonwealth Avenue,northbound,South Drive
Collins Road,Chestnut Street,northbound,
Collins Road,Devonshire Road,westbound,
Collins Road,Fenwick Road,westbound,
Collins Road,Waban Avenue,northbound,
Columbia Avenue,Winchester Street,eastbound,
Columbus Street,Forest Street,northbound and southbound,
Columbus Street,Hillside Road,northbound,
Columbus Street,Lincoln Street,eastbound,
Commonwealth Avenue,Irving Street,eastbound,North Drive at a point 100 feet east of Irving Street
Commonwealth Avenue,Windermere Road,eastbound,North Drive at a point 165 feet east of Windermere Road
Commonwealth Avenue,Auburn Street,eastbound,North Drive at Auburn Street (east intersection)
Commonwealth Avenue,Beaumont Avenue,eastbound,North Drive
Commonwealth Avenue,Bristol Road,eastbound,North Drive
Commonwealth Avenue,Bristol Road,westbound,North Drive at Bristol Road
Commonwealth Avenue,Bullough Park,eastbound,North Drive
Commonwealth Avenue,Bullough Park,westerly,North Drive
Commonwealth Avenue,Cedar Street,eastbound,North Drive
Commonwealth Avenue,Cedar Street,westerly,North Drive
Commonwealth Avenue,Chesterfield Road,eastbound,North Drive
Commonwealth Avenue,Chesterfield Road,westbound,North Drive
Commonwealth Avenue,Chestnut Street,eastbound,North Drive
Commonwealth Avenue,Chestnut Street,westbound,North Drive
Commonwealth Avenue,Commonwealth Avenue,southbound,North Drive at Commonwealth Avenue South Drive 97 feet east of Centre Street
Commonwealth Avenue,Commonwealth Park,eastbound,North Drive
Commonwealth Avenue,Commonwealth Park,westerly,North Drive
Commonwealth Avenue,Dartmouth Street,eastbound,North Drive
Commonwealth Avenue,Dartmouth Street,westbound,North Drive
Commonwealth Avenue,Elberta Terrace,eastbound,North Drive
Commonwealth Avenue,Elberta Terrace,westbound,North Drive
Commonwealth Avenue,Exeter Street,eastbound,North Drive
Commonwealth Avenue,Exeter Street,westerly,North Drive
Commonwealth Avenue,Grafton Street,eastbound,North Drive
Commonwealth Avenue,Grafton Street,westbound,North Drive
Commonwealth Avenue,Grant Avenue,eastbound,North Drive
Commonwealth Avenue,Hammond Street,eastbound,North Drive
Commonwealth Avenue,Higgins Street,eastbound,North Drive
Commonwealth Avenue,Higgins Street,westbound,North Drive
Commonwealth Avenue,Irving Street,eastbound,North Drive
Commonwealth Avenue,Irving Street,westerly,North Drive
Commonwealth Avenue,Lowell Avenue,eastbound,North Drive
Commonwealth Avenue,Lowell Avenue,westerly,North Drive
Commonwealth Avenue,Manet Road,eastbound,North Drive
Commonwealth Avenue,Manet Road,westerly,North Drive
Commonwealth Avenue,Melrose Street,eastbound,North Drive
Commonwealth Avenue,Melrose Street,westerly,North Drive
Commonwealth Avenue,Morseland Avenue,eastbound,North Drive
Commonwealth Avenue,Morseland Avenue,westerly,North Drive
Commonwealth Avenue,Morton Street,eastbound,North Drive
Commonwealth Avenue,Morton Street,westerly,North Drive
Commonwealth Avenue,Mt. Alvernia Road,eastbound,North Drive
Commonwealth Avenue,Mt. Alvernia Road,westbound,North Drive
Commonwealth Avenue,Oldham Road,eastbound,North Drive
Commonwealth Avenue,Oldham Road,westerly,North Drive
Commonwealth Avenue,Pamela Court,eastbound,North Drive
Commonwealth Avenue,Pamela Court,westbound,North Drive
Commonwealth Avenue,Prince Street,eastbound,North Drive
Commonwealth Avenue,Prince Street,westbound,North Drive
Commonwealth Avenue,Robinhood Street,eastbound,North Drive
Commonwealth Avenue,Robinhood Street,westbound,North Drive
Commonwealth Avenue,Rowe Street,eastbound,North Drive
Commonwealth Avenue,Rowe Street,westbound,North Drive
Commonwealth Avenue,Sumner Street,eastbound,North Drive
Commonwealth Avenue,Sumner Street,westerly,North Drive
Commonwealth Avenue,Temple Street,eastbound,North Drive
Commonwealth Avenue,Temple Street,westbound,North Drive
Commonwealth Avenue,Valentine Street,eastbound,North Drive
Commonwealth Avenue,Valentine Street,westerly,North Drive
Commonwealth Avenue,Wauwinet Road,eastbound,North Drive
Commonwealth Avenue,Wauwinet Road,westbound,North Drive
Commonwealth Avenue,Westbourne Road,westerly,North Drive at a point 382 feet west of Westbourne Road
Commonwealth Avenue,Westbourne Road,eastbound,North Drive
Commonwealth Avenue,Westbourne Road,westerly,North Drive
Commonwealth Avenue,Wimbledon Circle,eastbound,North Drive
Commonwealth Avenue,Wimbledon Circle,westbound,North Drive
Commonwealth Avenue,Windermere Road,eastbound,North Drive
Commonwealth Avenue,Windermere Road,westbound,North Drive
Commonwealth Avenue,Woodbine Street,westbound,North Drive
Commonwealth Avenue,Ransom Road,northbound,northbound crossover from South Drive to North Drive 253 feet west of Ransom Road
Commonwealth Park,Commonwealth Avenue,southbound,South Drive
Commonwealth Park West,Commonwealth Avenue,southbound,North Drive
Converse Avenue,Centre Street,eastbound,
Cook Street,Green Street,southbound,
Cook Street,Watertown Street,northbound,
Coolidge Road,Ward Street,southbound,
Copley Street,Washington Street,southbound,
Corey Street,LaGrange Street,northbound,
Cornell Street,Grove Street,eastbound and westbound,
Cottage Street,Elliot Street,eastbound,
Cotton Street,Centre Street,westbound,
Cotton Street,Park Avenue,eastbound and westbound,
Country Club Road,Dedham Street,southbound,
Country Club Road,Meadow Road,northwestbound and southeastbound,
Country Club Road,Rosalie Road,northbound and southeastbound,
Countryside Road,Dedham Street,eastbound,
Court Street,Washington Street,southbound,
